Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","1969","1969","ha","1500","E","Estimated value",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1969","1969","100 g/ha","146667","E","Estimated value",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1969","1969","t","22000","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","1970","1970","ha","1400","E","Estimated value",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1970","1970","100 g/ha","142857","E","Estimated value",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1970","1970","t","20000","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","1971","1971","ha","1000","E","Estimated value",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1971","1971","100 g/ha","130000","E","Estimated value",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1971","1971","t","13000","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","1972","1972","ha","700","E","Estimated value",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1972","1972","100 g/ha","130000","E","Estimated value",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1972","1972","t","9100","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","1973","1973","ha","800","E","Estimated value",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1973","1973","100 g/ha","148750","E","Estimated value",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1973","1973","t","11900","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","1974","1974","ha","800","E","Estimated value",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1974","1974","100 g/ha","125000","E","Estimated value",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1974","1974","t","10000","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","1975","1975","ha","800","E","Estimated value",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1975","1975","100 g/ha","128750","E","Estimated value",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1975","1975","t","10300","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","1976","1976","ha","800","E","Estimated value",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1976","1976","100 g/ha","135000","E","Estimated value",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1976","1976","t","10800","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","1977","1977","ha","600","E","Estimated value",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1977","1977","100 g/ha","163333","E","Estimated value",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1977","1977","t","9800","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","1978","1978","ha","800","E","Estimated value",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1978","1978","100 g/ha","126250","E","Estimated value",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1978","1978","t","10100","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","1979","1979","ha","800","E","Estimated value",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1979","1979","100 g/ha","125000","E","Estimated value",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1979","1979","t","10000","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","1980","1980","ha","600","E","Estimated value",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1980","1980","100 g/ha","148333","E","Estimated value",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1980","1980","t","8900","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","1981","1981","ha","500","E","Estimated value",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1981","1981","100 g/ha","130000","E","Estimated value",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1981","1981","t","6500","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","1982","1982","ha","600","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1982","1982","100 g/ha","150000","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1982","1982","t","9000","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","1983","1983","ha","600","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1983","1983","100 g/ha","172500","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1983","1983","t","10350","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","1984","1984","ha","700","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1984","1984","100 g/ha","195600","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1984","1984","t","13692","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","1985","1985","ha","700","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1985","1985","100 g/ha","156571","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1985","1985","t","10960","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","1986","1986","ha","700","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1986","1986","100 g/ha","140000","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1986","1986","t","9800","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","1987","1987","ha","700","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1987","1987","100 g/ha","148571","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1987","1987","t","10400","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","1988","1988","ha","700","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1988","1988","100 g/ha","148571","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1988","1988","t","10400","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","1989","1989","ha","700","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1989","1989","100 g/ha","167143","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1989","1989","t","11700","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","1990","1990","ha","700","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1990","1990","100 g/ha","151429","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1990","1990","t","10600","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","1991","1991","ha","700","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1991","1991","100 g/ha","147143","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1991","1991","t","10300","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","1992","1992","ha","600","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1992","1992","100 g/ha","135000","E","Estimated value",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1992","1992","t","8100","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","1993","1993","ha","500","E","Estimated value",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1993","1993","100 g/ha","162000","E","Estimated value",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1993","1993","t","8100","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","1994","1994","ha","700","E","Estimated value",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1994","1994","100 g/ha","164286","E","Estimated value",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1994","1994","t","11500","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","1995","1995","ha","710","I","Imputed value",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1995","1995","100 g/ha","166182","E","Estimated value",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1995","1995","t","11800","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","1996","1996","ha","676","I","Imputed value",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1996","1996","100 g/ha","170087","E","Estimated value",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1996","1996","t","11500","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","1997","1997","ha","600","E","Estimated value",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1997","1997","100 g/ha","161667","E","Estimated value",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1997","1997","t","9700","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","1998","1998","ha","500","E","Estimated value",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1998","1998","100 g/ha","160000","E","Estimated value",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1998","1998","t","8000","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","1999","1999","ha","700","E","Estimated value",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","1999","1999","100 g/ha","185714","E","Estimated value",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","1999","1999","t","13000","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","2000","2000","ha","592","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","2000","2000","100 g/ha","182432","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","2000","2000","t","10800","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","2001","2001","ha","592","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","2001","2001","100 g/ha","263514","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","2001","2001","t","15600","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","2002","2002","ha","631","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","2002","2002","100 g/ha","172742","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","2002","2002","t","10900","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","2003","2003","ha","631","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","2003","2003","100 g/ha","118859","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","2003","2003","t","7500","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","2004","2004","ha","631","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","2004","2004","100 g/ha","293185","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","2004","2004","t","18500","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","2005","2005","ha","634","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","2005","2005","100 g/ha","233438","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","2005","2005","t","14800","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","2006","2006","ha","637","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","2006","2006","100 g/ha","285714","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","2006","2006","t","18200","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","2007","2007","ha","620","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","2007","2007","100 g/ha","241935","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","2007","2007","t","15000","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","2008","2008","ha","620","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","2008","2008","100 g/ha","251613","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","2008","2008","t","15600","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","2009","2009","ha","620","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","2009","2009","100 g/ha","211290","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","2009","2009","t","13100","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","2010","2010","ha","620","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","2010","2010","100 g/ha","340323","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","2010","2010","t","21100","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","2011","2011","ha","620","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","2011","2011","100 g/ha","329032","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","2011","2011","t","20400","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","2012","2012","ha","620","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","2012","2012","100 g/ha","195161","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","2012","2012","t","12100","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","2013","2013","ha","615","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","2013","2013","100 g/ha","247154","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","2013","2013","t","15200","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","2014","2014","ha","635","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","2014","2014","100 g/ha","308661","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","2014","2014","t","19600","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","2015","2015","ha","635","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","2015","2015","100 g/ha","296063","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","2015","2015","t","18800","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","2016","2016","ha","695","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","2016","2016","100 g/ha","313669","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","2016","2016","t","21800","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","2017","2017","ha","695","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","2017","2017","100 g/ha","307468","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","2017","2017","t","21369","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","2018","2018","ha","710","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","2018","2018","100 g/ha","283662","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","2018","2018","t","20140","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","2019","2019","ha","710","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","2019","2019","100 g/ha","280000","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","2019","2019","t","19880","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","2020","2020","ha","710","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","2020","2020","100 g/ha","274225","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","2020","2020","t","19470","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","2021","2021","ha","710","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","2021","2021","100 g/ha","223380","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","2021","2021","t","15860","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01341","Apples","2022","2022","ha","710","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","01341","Apples","2022","2022","100 g/ha","326761","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01341","Apples","2022","2022","t","23200","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01343","Apricots","2018","2018","ha","0","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01343","Apricots","2018","2018","t","0","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01343","Apricots","2019","2019","ha","0","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01343","Apricots","2019","2019","t","0","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01343","Apricots","2020","2020","ha","0","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01343","Apricots","2020","2020","t","0","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01343","Apricots","2021","2021","ha","0","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01343","Apricots","2021","2021","t","0","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01343","Apricots","2022","2022","ha","0","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01343","Apricots","2022","2022","t","0","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01311","Avocados","2018","2018","ha","0","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01311","Avocados","2018","2018","t","0","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01311","Avocados","2019","2019","ha","0","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01311","Avocados","2019","2019","t","0","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01311","Avocados","2020","2020","ha","0","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01311","Avocados","2020","2020","t","0","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01311","Avocados","2021","2021","ha","0","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01311","Avocados","2021","2021","t","0","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01311","Avocados","2022","2022","ha","0","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01311","Avocados","2022","2022","t","0","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01312","Bananas","2018","2018","ha","0","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01312","Bananas","2018","2018","t","0","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01312","Bananas","2019","2019","ha","0","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01312","Bananas","2019","2019","t","0","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01312","Bananas","2020","2020","ha","0","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01312","Bananas","2020","2020","t","0","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01312","Bananas","2021","2021","ha","0","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01312","Bananas","2021","2021","t","0","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","01312","Bananas","2022","2022","ha","0","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01312","Bananas","2022","2022","t","0","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","0115","Barley","1961","1961","ha","146373","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","0115","Barley","1961","1961","100 g/ha","35211","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","0115","Barley","1961","1961","t","515400","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","0115","Barley","1962","1962","ha","164219","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","0115","Barley","1962","1962","100 g/ha","36731","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","0115","Barley","1962","1962","t","603200","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","0115","Barley","1963","1963","ha","173608","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","0115","Barley","1963","1963","100 g/ha","33921","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","0115","Barley","1963","1963","t","588900","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","0115","Barley","1964","1964","ha","183644","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","0115","Barley","1964","1964","100 g/ha","29987","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","0115","Barley","1964","1964","t","550699","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","0115","Barley","1965","1965","ha","187790","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5419","Yield","0115","Barley","1965","1965","100 g/ha","32788","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","0115","Barley","1965","1965","t","615730","A","Official figure",""
